Dataset,Link to CT scan data,Link to humerus,Link to femur,Class,Higher Clade,Family,Species,Common Name,SP#,Body Mass (g),Body_mass_literature (g),Humerus Length,Humerus Circumference,Femur Length,Femur Circumference,Dentary Length (mm),Bi_Quad,tree_names
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158236,http://n2t.net/ark:/87602/m4/M158240,Mammalia,,Caviidae,Hydrochoerus hydrochaeris,Capybara,AMNH206440,,62450,171.93,57.01,207.21,71.84,73.68,Q,Hydrochoerus hydrochaeris
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158081,http://n2t.net/ark:/87602/m4/M158084,Mammalia,,Cervidae,Hydropotes inermis,Water deer,NMS unnumbered,,14000,114.23,35.46,150.05,41.93,123.08,Q,Hydropotes inermis
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M159946,http://n2t.net/ark:/87602/m4/M159948,http://n2t.net/ark:/87602/m4/M159949,Mammalia,,Nesomyidae,Hypogeomys antimena,Malagasy giant rat,FMNH 151994,,1250,45.16,12.12,63.36,21.09,40.12,Q,Hypogeomys antimena
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157734,http://n2t.net/ark:/87602/m4/M157738,Mammalia,,Hystricidae,Hystrix africaeaustralis,South African porcupine,FMNH 60453,,14936,105.14,35.3,115.1,37.95,104.59,Q,Hystrix africaeaustralis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M140813,http://n2t.net/ark:/87602/m4/M140816,Mammalia,,Mustelidae,Ictonyx striatus,Striped polecate,UMZC K1874,,1300,42.5,11.78,45.63,12.05,40.1,Q,Ictonyx striatus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68198,http://n2t.net/ark:/87602/m4/M68201,http://n2t.net/ark:/87602/m4/M68204,Mammalia,,Peramelidae,Isoodon macrourus,Northern brown bandicoot,FMNH 120560,,1600,38.38,12.58,55.26,14.65,48.99,Q,Isoodon macrourus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82439,http://n2t.net/ark:/87602/m4/M82443,http://n2t.net/ark:/87602/m4/M82446,Mammalia,,Peramelidae,Isoodon obesulus,Southern brown bandicoot,UMZC A7.4/5,,775,38.04,12.31,55.83,15.98,47.69,Q,Isoodon obesulus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157656,http://n2t.net/ark:/87602/m4/M157659,Mammalia,,Chinchillidae,Lagostomus maximus,Plains viscacha,NHMUK 1991.174,,4648,66.52,26.47,104.33,30.46,86.62,Q,Lagostomus maximus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158090,http://n2t.net/ark:/87602/m4/M158093,Mammalia,,Vombatidae,Lasiorhinus latifrons,Southern hairy-nosed wombat,NMS 1868.31,,25500,103.2,47.37,135.21,42.84,115.29,Q,Lasiorhinus latifrons
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157744,http://n2t.net/ark:/87602/m4/M157748,Mammalia,,Lemuridae,Lemur catta,Rin-tailed lemur,FMNH 157993,,2900,81.19,20.77,128.77,26.03,56.23,Q,Lemur catta
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158099,http://n2t.net/ark:/87602/m4/M158103,Mammalia,,Felidae,Leopardus wiedii,Margay,NMS 2016.12.1,,3250,104.69,25.14,116.02,26.89,57.49,Q,Leopardus wiedii
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82366,http://n2t.net/ark:/87602/m4/M82369,http://n2t.net/ark:/87602/m4/M82373,Mammalia,,Caenolestidae,Lestoros inca,Incan shrew opossum,UMMZ 160733,,21,13.74,4.14,15.77,4.07,17.28,Q,Lestoros inca
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157780,http://n2t.net/ark:/87602/m4/M157783,http://n2t.net/ark:/87602/m4/M157786,Mammalia,,Tenrecidae,Limnogale mergulus,Web-footed tenrec,FMNH 165440,,80,16.5,5.29,16.73,5.91,21.96,Q,Limnogale mergulus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141158,http://n2t.net/ark:/87602/m4/M141161,http://n2t.net/ark:/87602/m4/M141164,Mammalia,,Heteromyidae,Liomys irroratus,Mexican piny pocket mouse,UMMZ 120788,,50,14.21,4,20.66,5.71,14.62,Q,Liomys irroratus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82375,http://n2t.net/ark:/87602/m4/M82378,http://n2t.net/ark:/87602/m4/M82381,Mammalia,,Didelphidae,Lutreolina crassicaudata,Lutrine opossum,UMMZ 163450,,537,35.53,10.05,42.38,11.12,47.25,Q,Lutreolina crassicaudata
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157665,http://n2t.net/ark:/87602/m4/M157669,Mammalia,,Cercopithecidae,Macaca sylvanus,Barbary macaque,NHMUK 1858.4.5.1,,7000,160,42.42,201.04,44.91,100.08,Q,Macaca sylvanus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157790,http://n2t.net/ark:/87602/m4/M157794,http://n2t.net/ark:/87602/m4/M157797,Mammalia,,Macroscelididae,Macroscelides proboscideus,Round-eared elephant shrew,FMNH 137045,,38,17.65,4.87,23.61,6.48,22.35,Q,Macroscelides proboscideus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M86113,http://n2t.net/ark:/87602/m4/M86116,Mammalia,,Peramelidae,Macrotis lagotis,Greater bilby,NHMUK 73.6.21.4,,1350,50.45,17.67,73.38,20,73.21,Q,Macrotis lagotis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158119,http://n2t.net/ark:/87602/m4/M158123,Mammalia,,Bovidae,Madoqua kirkii,Kirk's dik dik,NMS POZ8.99,,5300,82.22,25.31,105.13,31.51,86.03,Q,Madoqua kirkii
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140840,http://n2t.net/ark:/87602/m4/M140843,http://n2t.net/ark:/87602/m4/M140846,Mammalia,,Muridae,Malacomys longipes,Big-eared swamp rat,UMZC E2265,,96,17.79,4.09,21.79,5.47,19.74,Q,Malacomys longipes
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141168,http://n2t.net/ark:/87602/m4/M141173,http://n2t.net/ark:/87602/m4/M141176,Mammalia,,Nesomyidae,Malacothrix typica,Gerbil mouse,UMMZ 117815,,13,12.78,3.76,14.05,4.5,14.53,Q,Malacothrix typica
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158246,http://n2t.net/ark:/87602/m4/M158250,Mammalia,,Manidae,Manis gigantea,Giant pangolin,AMNH 53851,,33000,113.6,60.68,136.66,57.98,108.54,Q,Smutsia gigantea
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M160171,http://n2t.net/ark:/87602/m4/M166714,http://n2t.net/ark:/87602/m4/M166713,Mammalia,,Manidae,Manis tricuspis,Tree pangolin,NHMUK 34.6.2.94,,2067,53.83,25.38,57.01,24.39,46.61,Q,Phataginus tricuspis
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68271,http://n2t.net/ark:/87602/m4/M68274,http://n2t.net/ark:/87602/m4/M68277,Mammalia,,Didelphidae,Marmosa murina,Linnaeus's Mouse Opossum,NHMUK 1881.11.1,,26,16.13,4.36,19.71,4.53,23.15,Q,Marmosa murina
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158256,http://n2t.net/ark:/87602/m4/M158260,Mammalia,,Sciuridae,Marmota monax,Groundhog,AMNH64882,,3802,67.92,24.96,79.55,24.03,60.83,Q,Marmota monax
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157914,http://n2t.net/ark:/87602/m4/M157918,http://n2t.net/ark:/87602/m4/M157922,Mammalia,,Mephitidae,Mephitis mephitis,Striped skunk,FMNH 129327,,2085,61.84,19.68,71.1,21.59,49.87,Q,Mephitis mephitis
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82383,http://n2t.net/ark:/87602/m4/M82386,http://n2t.net/ark:/87602/m4/M82389,Mammalia,,Didelphidae,Micoureus demerarae,Woolly mouse opossum,UMMZ 134562,,76,30.73,10.01,34.63,8.1,36.27,Q,Marmosa demerarae
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141180,http://n2t.net/ark:/87602/m4/M141183,http://n2t.net/ark:/87602/m4/M141186,Mammalia,,Tenrecidae,Microgale brevicaudata,Short-tailed shrew tenrec,UMMZ 174757,,11,10.07,2.39,10.09,2.87,13.25,Q,Microgale brevicaudata
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141190,http://n2t.net/ark:/87602/m4/M141193,http://n2t.net/ark:/87602/m4/M141196,Mammalia,,Tenrecidae,Microgale drouhardi,Drouhard's shrew tenrec,UMMZ 168477,,11,11.09,3.126,12.02,3.73,15.48,Q,Microgale drouhardi
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141200,http://n2t.net/ark:/87602/m4/M141203,http://n2t.net/ark:/87602/m4/M141206,Mammalia,,Tenrecidae,Microgale thomasi,Thomas's shrew tenrec,UMMZ 172202,,23,12.92,4.02,15.04,4.6,17.7,Q,Microgale thomasi
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68214,http://n2t.net/ark:/87602/m4/M68217,http://n2t.net/ark:/87602/m4/M68220,Mammalia,,Didelphidae,Monodelphis domestica,Grey short-tailed opossum,UMMZ 165514,,71,24.6,7.59,28.74,6.97,33.64,Q,Monodelphis domestica
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158157,http://n2t.net/ark:/87602/m4/M158160,Mammalia,,Cervidae,Muntiacus reevesi,Reeve's muntjac,NMS 1996.142.8,,13500,114.97,35.67,145.78,39.64,122.18,Q,Muntiacus reevesi
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157926,http://n2t.net/ark:/87602/m4/M157930,http://n2t.net/ark:/87602/m4/M157933,Mammalia,,Mustelidae,Mustela nivalis,Least weasel,FMNH 207033,,77,20.15,4.66,20.19,4.32,17.02,Q,Mustela nivalis
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M160117,http://n2t.net/ark:/87602/m4/M160120,http://n2t.net/ark:/87602/m4/M160121,Mammalia,,Mustelidae,Mustela putorius,European polecat,UMZC K2361,,915,47.48,12.36,51.09,12.97,41.43,Q,Mustela putorius
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158266,http://n2t.net/ark:/87602/m4/M158270,Mammalia,,Myocastoridae,Myocastor coypus,Coypu,AMNH206456,,6937,69.07,23.46,92.37,31.85,83.48,Q,Myocastor coypus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157935,http://n2t.net/ark:/87602/m4/M157938,http://n2t.net/ark:/87602/m4/M157941,Mammalia,,Soricidae,Myosorex kihaulei,Kihaule's mouse shrew,FMNH ????????,,10,9.01,3.111,9.76,3.079,10.42,Q,Myosorex kihaulei
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68247,http://n2t.net/ark:/87602/m4/M68250,http://n2t.net/ark:/87602/m4/M68253,Mammalia,,Myrmecobiidae,Myrmecobius fasciatus,Numbat,UMZC A6.41/8,,472,30.84,13.33,44.62,11.59,45.29,Q,Myrmecobius fasciatus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157704,http://n2t.net/ark:/87602/m4/M157708,Mammalia,,Myrmecophagidae,Myrmecophaga tridactyla,Giant anteater,NHMUK 2003.335,,22333,173.42,95.23,216.81,83.75,301.39,Q,Myrmecophaga tridactyla
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140985,http://n2t.net/ark:/87602/m4/M140988,http://n2t.net/ark:/87602/m4/M140991,Mammalia,,Nandiniidae,Nandinia binotata,African palm civet,UMZC K4492,,2000,85.19,22.34,98.42,23.54,69.47,Q,Nandinia binotata
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M56072,http://n2t.net/ark:/87602/m4/M56079,http://n2t.net/ark:/87602/m4/M56076,Mammalia,,Dipodidae,Napaeozapus insignis,Woodland jumping mouse,UMMZ 126314,,22,12.78,3,18.42,4.22,12.6,Q,Napaeozapus insignis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M159163,http://n2t.net/ark:/87602/m4/M159166,Mammalia,,Soricidae,Neomys fodiens,Eurasian water shrew,NHMUK 1973.917,,14,8.42,2.73,9.75,2.91,9.65,Q,Neomys fodiens
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M68255,http://n2t.net/ark:/87602/m4/M68258,http://n2t.net/ark:/87602/m4/M68261,Mammalia,,Notoryctidae,Notoryctes typhlops,Southern marsupial mole,UMZC A5.1/1,,55,14,6.48,14.58,6.28,17.24,Q,Notoryctes typhlops
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140995,http://n2t.net/ark:/87602/m4/M140999,http://n2t.net/ark:/87602/m4/M141002,Mammalia,,Lorisidae,Nycticebus coucang,Sunda slow loris,UMZC E8261E,,1187,65.45,16.36,75.37,16.82,36.48,Q,Nycticebus coucang
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157714,http://n2t.net/ark:/87602/m4/M157718,Mammalia,,Orycteropodidae,Orycteropus afer,Aardvark,NHMUK 03.1.4.66,,52350,150.13,57.86,189.24,71.62,193.39,Q,Orycteropus afer
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157675,http://n2t.net/ark:/87602/m4/M157679,Mammalia,,Leporidae,Oryctolagus cuniculus,European rabbit,NHMUK 1849.6.20.9,,1767,76.71,18.11,98.57,24.64,68.56,Q,Oryctolagus cuniculus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M141014,http://n2t.net/ark:/87602/m4/M141017,http://n2t.net/ark:/87602/m4/M141020,Mammalia,,Tenrecidae,Oryzorictes tetradactylus,Four-toed rice tenrec,UMZC E5453c,,36,13.4,5.88,15.05,4.88,21.07,Q,Oryzorictes tetradactylus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158318,http://n2t.net/ark:/87602/m4/M158326,Mammalia,,Hominidae,Pan troglodytes,Common chimpanzee,P-CM M724,,42500,289.75,81.48,294.93,81.95,141.63,Q,Pan troglodytes
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157801,http://n2t.net/ark:/87602/m4/M157804,http://n2t.net/ark:/87602/m4/M157807,Mammalia,,Soricidae,Paracrocidura schoutedeni,Lesser large-headed shrew,FMNH 227382,,13,8.88,3.21,9.27,3.1,11.78,Q,Paracrocidura schoutedeni
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157811,http://n2t.net/ark:/87602/m4/M157816,http://n2t.net/ark:/87602/m4/M157820,Mammalia,,Viverridae,Paradoxurus hermaphroditus,Asian palm civet,FMNH 62837,,3200,76.39,21.4,81.93,20.61,39.79,Q,Paradoxurus hermaphroditus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158129,http://n2t.net/ark:/87602/m4/M158132,Mammalia,,Tayassuidae,Pecari tajacu,Collared peccary,NMS 2002.164.2,,21267,146.17,50.39,156.76,51.54,167.23,Q,Pecari tajacu
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M52207,http://n2t.net/ark:/87602/m4/M52209,http://n2t.net/ark:/87602/m4/M52208,Mammalia,,Pseudocheiridae,Petauroides volans,Greater glider,NHMUK 1926.3.11.225,,1300,74.83,14.04,95.39,16.57,32.57,Q,Petauroides volans
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M52791,http://n2t.net/ark:/87602/m4/M52795,http://n2t.net/ark:/87602/m4/M52811,Mammalia,,Petauridae,Petaurus breviceps,Sugar glider,FMNH 129430,,106,28.73,7.06,33.4,6.61,20.94,Q,Petaurus breviceps
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M140871,http://n2t.net/ark:/87602/m4/M140875,http://n2t.net/ark:/87602/m4/M140878,Mammalia,,Sciuridae,Hylopetes sagitta,Arrow flying squirrel,UMZC E14999,,50,21.14,4.23,25.32,5.49,19.21,Q,Petinomys sagitta
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M86121,http://n2t.net/ark:/87602/m4/M86123,Mammalia,,Phascolarctidae,Phascolarctos cinereus,Koala,NHMUK 75.1828,,10250,109.9,33.64,140.72,33.42,85.51,Q,Phascolarctos cinereus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82596,http://n2t.net/ark:/87602/m4/M82599,http://n2t.net/ark:/87602/m4/M82602,Mammalia,,Didelphidae,Philander opossum,Grey four-eyed opossum,UMMZ 114855,,585,47.5,13.16,58.03,13.54,61.87,Q,Philander opossum
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M159149,http://n2t.net/ark:/87602/m4/M159153,http://n2t.net/ark:/87602/m4/M159156,Mammalia,,Erinaceidae,Podogymnura truei,Mindanao gymnure,FMNH 146591,,114,20.41,5.63,23.82,6.73,28.12,Q,Podogymnura truei
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157754,http://n2t.net/ark:/87602/m4/M157758,Mammalia,,Dasypodidae,Priodontes maximus,Giant armadillo,FMNH 72913,,45360,130.2,81.04,170.41,88.4,151.49,Q,Priodontes maximus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157724,http://n2t.net/ark:/87602/m4/M157728,Mammalia,,Felidae,Prionailurus viverrinus,Fishing cat,NHMUK 1860.7.22.22,,8853,114.21,30.29,134.96,33.64,81.33,Q,Prionailurus viverrinus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157764,http://n2t.net/ark:/87602/m4/M157767,Mammalia,,Procaviidae,Procavia capensis,Rock hyrax,FMNH 147999,,3030,77.71,19.49,75.17,20.87,68.74,Q,Procavia capensis
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M157773,http://n2t.net/ark:/87602/m4/M157777,Mammalia,,Procyonidae,Procyon lotor,Racoon,FMNH 175311,,5525,100.13,28.07,115.14,31.31,75.61,Q,Procyon lotor
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157945,http://n2t.net/ark:/87602/m4/M157949,http://n2t.net/ark:/87602/m4/M157952,Mammalia,,Leporidae,Pronolagus rupestris,Smith's red rock hare,FMNH 177246,,1754,56.98,14,76.98,19.02,50.98,Q,Pronolagus rupestris
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158166,http://n2t.net/ark:/87602/m4/M158170,Mammalia,,Hyaenidae,Proteles cristatus,Aardwolf,NMS unnumbered,,10000,139.18,29.52,142.05,28.42,91.37,Q,Proteles cristata
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82457,http://n2t.net/ark:/87602/m4/M82461,http://n2t.net/ark:/87602/m4/M82464,Mammalia,,Pseudocheiridae,Pseudocheirus peregrinus,Common ringtail possum,UMZC A9.26/3,,900,54.42,15.83,72.95,19.13,43.4,Q,Pseudocheirus peregrinus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M158138,http://n2t.net/ark:/87602/m4/M158141,Mammalia,,Cervidae,Pudu puda,Pudu,NMS 2011.141.1,,9750,116.69,34.93,129.73,39.49,113.58,Q,Pudu puda
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157403,http://n2t.net/ark:/87602/m4/M157406,http://n2t.net/ark:/87602/m4/M157409,Mammalia,,Macroscelididae,Rhynchocyon petersi,Black and rufous sengi,NHMUK1886.9.21.1,,424,37.51,10.25,54.87,14.43,50.29,Q,Rhynchocyon petersi
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M82330,http://n2t.net/ark:/87602/m4/M82335,http://n2t.net/ark:/87602/m4/M82338,Mammalia,,Caenolestidae,Rhyncholestes raphanurus,Long-nosed caenolestid,FMNH 27476,,21,12.97,4.32,14.46,3.8,19.85,Q,Rhyncholestes raphanurus
A. New data (Panciroli et al 2023),,http://n2t.net/ark:/87602/m4/M86127,http://n2t.net/ark:/87602/m4/M86131,Mammalia,,Dasyuridae,Sarcophilus harrisii,Tasmanian devil,NHMUK 2003.331,,10000,96.62,25.99,102.42,27.39,104.77,Q,Sarcophilus harrisii
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M160076,http://n2t.net/ark:/87602/m4/M160078,http://n2t.net/ark:/87602/m4/M160079,Mammalia,,Talpidae,Scapanus latimanus,Broad-footed mole,UMMZ 74584,,55,13.72,13.06,14.27,12.86,19.52,Q,Scapanus latimanus
A. New data (Panciroli et al 2023),http://n2t.net/ark:/87602/m4/M157824,http://n2t.net/ark:/87602/m4/M157827,http://n2t.net/ark:/87602/m4/M157830,Mammalia,,Soricidae,Scutisorex somereni,Hero shrew,FMNH 160182,,91,16.8,5.28,20.03,5.63,17.7,Q,Scutisorex somereni
